City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
108,Harer,9.31,42.13,61.45,53,98,6.55,ET,2020-04-20 04:22:08,overcast clouds,0,0
109,Wageningen,51.97,5.67,46.0,56,0,12.75,NL,2020-04-20 04:22:09,clear sky,0,0
110,Victoria,22.29,114.16,86.0,76,22,11.01,HK,2020-04-20 04:15:54,few clouds,0,0
111,Voi,-3.39,38.56,71.17,73,95,5.19,KE,2020-04-20 04:22:10,overcast clouds,0,0
112,Ahipara,-35.17,173.17,64.58,90,100,5.86,NZ,2020-04-20 04:17:20,moderate rain,4.35,0
113,Bucerias,20.75,-105.33,73.4,83,20,3.36,MX,2020-04-20 04:22:10,few clouds,0,0
114,Upernavik,72.79,-56.15,23.4,88,66,47.96,GL,2020-04-20 04:16:05,light snow,0,0.27
115,Isangel,-19.55,169.27,84.2,79,90,9.17,VU,2020-04-20 04:16:44,overcast clouds,0,0
116,Kununurra,-15.77,128.73,98.6,29,10,8.05,AU,2020-04-20 04:22:11,clear sky,0,0
117,Chuy,-33.7,-53.46,64.47,85,0,9.71,UY,2020-04-20 04:15:52,clear sky,0,0
118,Ketou,7.36,2.6,77.72,82,80,3.42,BJ,2020-04-20 04:22:11,broken clouds,0,0
119,Tezu,27.92,96.17,70.41,64,96,2.06,IN,2020-04-20 04:16:49,light rain,1.11,0
120,Szydlowiec,51.23,20.86,32.61,86,0,4.32,PL,2020-04-20 04:22:12,clear sky,0,0
121,Pisco,-13.7,-76.22,68.0,82,0,6.93,PE,2020-04-20 04:16:30,clear sky,0,0
122,Hobyo,5.35,48.53,84.11,74,100,7.49,SO,2020-04-20 04:22:12,overcast clouds,0,0
123,Port Elizabeth,-33.92,25.57,69.8,49,0,12.75,ZA,2020-04-20 04:16:12,clear sky,0,0
124,Lavrentiya,65.58,-171.0,19.63,92,100,7.83,RU,2020-04-20 04:17:56,overcast clouds,0,0
125,Acapulco,16.86,-99.89,77.0,94,5,2.53,MX,2020-04-20 04:21:26,clear sky,0,0
126,Guerrero Negro,27.98,-114.06,60.48,78,99,19.82,MX,2020-04-20 04:15:58,overcast clouds,0,0
127,Cayenne,4.93,-52.33,77.0,100,100,10.09,GF,2020-04-20 04:22:13,moderate rain,5.95,0
128,Broken Hill,-31.95,141.43,73.4,27,100,9.17,AU,2020-04-20 04:22:14,overcast clouds,0,0
129,Kavaratti,10.57,72.64,87.8,66,20,4.7,IN,2020-04-20 04:15:55,few clouds,0,0
130,Cabinda,-5.55,12.2,79.25,85,79,3.98,AO,2020-04-20 04:22:14,broken clouds,0,0
131,Hamilton,39.18,-84.53,48.0,93,1,3.83,US,2020-04-20 04:17:48,clear sky,0,0
132,Tacuarembo,-31.73,-55.98,60.08,67,0,4.88,UY,2020-04-20 04:19:01,clear sky,0,0
133,Sinjhoro,26.03,68.81,82.4,54,40,4.7,PK,2020-04-20 04:22:15,haze,0,0
134,Salalah,17.02,54.09,82.4,69,40,3.36,OM,2020-04-20 04:17:03,scattered clouds,0,0
135,Bonavista,48.65,-53.11,32.25,98,100,30.91,CA,2020-04-20 04:16:22,snow,0,7.89
136,Castro,-24.79,-50.01,56.52,70,49,5.79,BR,2020-04-20 04:16:27,scattered clouds,0,0
137,Sitka,57.05,-135.33,48.2,87,90,3.36,US,2020-04-20 04:12:14,overcast clouds,0,0
138,Sao Filipe,14.9,-24.5,71.49,72,1,16.69,CV,2020-04-20 04:17:15,clear sky,0,0
139,Alice Springs,-23.7,133.88,98.6,14,75,9.17,AU,2020-04-20 04:22:16,broken clouds,0,0
140,Avarua,-21.21,-159.78,80.6,74,3,11.41,CK,2020-04-20 04:16:20,clear sky,0,0
141,Hof,50.32,11.92,37.99,49,0,1.01,DE,2020-04-20 04:22:16,clear sky,0,0
142,Pundaguitan,6.37,126.17,83.52,76,55,9.57,PH,2020-04-20 04:22:16,broken clouds,0,0
143,Manono,-7.3,27.42,68.5,82,93,1.74,CD,2020-04-20 04:22:17,light rain,1.87,0
144,Winnemucca,40.97,-117.74,42.8,56,1,3.36,US,2020-04-20 04:22:17,clear sky,0,0
145,Kodiak,57.79,-152.41,44.6,81,90,13.87,US,2020-04-20 04:16:00,overcast clouds,0,0
146,Canatlan,24.52,-104.78,66.99,29,32,11.01,MX,2020-04-20 04:22:17,scattered clouds,0,0
147,Xianyang,34.34,108.7,64.0,31,100,4.47,CN,2020-04-20 04:22:18,overcast clouds,0,0
148,Moree,-29.47,149.85,73.4,27,91,10.29,AU,2020-04-20 04:22:18,overcast clouds,0,0
149,Quchan,37.11,58.51,55.69,34,0,2.39,IR,2020-04-20 04:22:18,clear sky,0,0
150,Merauke,-8.47,140.33,89.24,63,22,7.27,ID,2020-04-20 04:17:24,light rain,0.16,0
151,Aljezur,37.32,-8.8,57.99,81,98,11.05,PT,2020-04-20 04:22:19,light rain,0.14,0
152,Nanortalik,60.14,-45.24,27.81,86,17,6.93,GL,2020-04-20 04:18:06,few clouds,0,0
153,Namibe,-15.2,12.15,74.39,73,74,1.28,AO,2020-04-20 04:16:37,light rain,1.97,0
154,Marsala,37.8,12.44,68.0,56,40,5.82,IT,2020-04-20 04:22:20,scattered clouds,0,0
155,Grindavik,63.84,-22.43,46.4,100,90,26.4,IS,2020-04-20 04:17:12,light rain,0,0
156,Imbituba,-28.24,-48.67,66.2,88,2,8.05,BR,2020-04-20 04:22:20,clear sky,0,0
157,Ajdabiya,30.76,20.23,68.56,35,100,10.33,LY,2020-04-20 04:22:20,overcast clouds,0,0
158,Ladario,-19.0,-57.6,73.62,81,1,1.05,BR,2020-04-20 04:22:21,clear sky,0,0
159,Malakal,9.53,31.66,79.47,38,98,3.06,SS,2020-04-20 04:22:21,overcast clouds,0,0
160,Vidor,30.13,-94.02,73.4,100,90,3.36,US,2020-04-20 04:22:21,mist,0,0
161,Yumen,40.28,97.2,51.31,19,75,16.33,CN,2020-04-20 04:18:08,broken clouds,0,0
162,Gilgit,35.92,74.31,52.25,25,100,3.06,PK,2020-04-20 04:16:31,overcast clouds,0,0
163,Pacific Grove,36.62,-121.92,57.2,71,90,3.36,US,2020-04-20 04:17:33,overcast clouds,0,0
164,Sire,12.93,5.2,86.07,20,7,9.24,NG,2020-04-20 04:22:22,clear sky,0,0
165,Hermanus,-34.42,19.23,60.01,93,9,1.99,ZA,2020-04-20 04:16:36,clear sky,0,0
166,Padang,-0.95,100.35,88.18,60,3,1.83,ID,2020-04-20 04:17:48,light rain,0.22,0
167,Cascais,38.7,-9.42,57.99,81,100,12.73,PT,2020-04-20 04:22:23,overcast clouds,0,0
168,Leningradskiy,69.38,178.42,14.41,93,95,10.16,RU,2020-04-20 04:18:00,overcast clouds,0,0
169,Ponta Do Sol,32.67,-17.1,62.01,75,9,10.0,PT,2020-04-20 04:16:36,clear sky,0,0
170,Skegness,53.14,0.34,46.0,92,0,4.0,GB,2020-04-20 04:22:23,clear sky,0,0
171,Garissa,-0.45,39.64,76.48,74,100,10.78,KE,2020-04-20 04:22:23,light rain,0.13,0
172,Barra Do Bugres,-15.07,-57.18,72.95,86,7,0.29,BR,2020-04-20 04:22:24,clear sky,0,0
173,Talnakh,69.49,88.4,37.4,69,99,31.32,RU,2020-04-20 04:16:32,overcast clouds,0,0
174,Tuatapere,-46.13,167.68,55.99,74,16,5.01,NZ,2020-04-20 04:17:31,few clouds,0,0
175,Mumbwa,-14.98,27.06,58.55,65,0,2.86,ZM,2020-04-20 04:19:04,clear sky,0,0
176,Aasiaat,68.71,-52.87,25.75,91,100,19.48,GL,2020-04-20 04:17:35,light snow,0,0.59
177,Lebu,-37.62,-73.65,55.58,72,100,9.01,CL,2020-04-20 04:15:55,overcast clouds,0,0
178,Kokhma,56.93,41.09,34.23,84,15,3.15,RU,2020-04-20 04:22:25,few clouds,0,0
179,Natal,-5.79,-35.21,78.8,88,20,2.24,BR,2020-04-20 04:22:25,few clouds,0,0
180,Pouembout,-21.13,164.9,78.96,83,100,7.67,NC,2020-04-20 04:22:25,moderate rain,4.49,0
181,Grand Gaube,-20.01,57.66,75.2,88,40,11.41,MU,2020-04-20 04:17:41,shower rain,0,0
182,Pelym,61.01,62.0,38.75,73,0,4.9,RU,2020-04-20 04:22:26,clear sky,0,0
183,Bida,9.08,6.02,80.53,69,100,4.83,NG,2020-04-20 04:22:26,overcast clouds,0,0
184,Kitimat,54.05,-128.65,51.8,62,40,16.11,CA,2020-04-20 04:20:31,scattered clouds,0,0
185,Gat,31.61,34.76,62.01,75,0,5.39,IL,2020-04-20 04:16:07,clear sky,0,0
186,Tura,25.52,90.22,79.81,63,97,6.87,IN,2020-04-20 04:15:51,light rain,0.11,0
187,Esperance,-33.87,121.9,66.2,59,75,17.22,AU,2020-04-20 04:17:30,broken clouds,0,0
188,Morros,-9.45,-46.3,72.45,80,87,4.61,BR,2020-04-20 04:22:27,light rain,1.09,0
189,Kyra,49.58,111.98,26.44,55,73,16.53,RU,2020-04-20 04:22:27,broken clouds,0,0
190,Vestmannaeyjar,63.44,-20.27,46.22,94,100,27.13,IS,2020-04-20 04:22:28,light rain,0.17,0
191,Haines Junction,60.75,-137.51,43.29,58,74,8.57,CA,2020-04-20 04:16:51,broken clouds,0,0
192,Longyearbyen,78.22,15.64,24.8,85,75,28.86,SJ,2020-04-20 04:17:00,snow,0,0
193,Kabo,7.7,18.63,78.08,62,58,7.54,CF,2020-04-20 04:22:28,broken clouds,0,0
194,Petropavlovsk-Kamchatskiy,53.05,158.65,39.2,29,19,17.9,RU,2020-04-20 04:22:28,few clouds,0,0
195,Mahebourg,-20.41,57.7,75.2,88,40,11.41,MU,2020-04-20 04:16:57,shower rain,0,0
