City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
295,Leningradskiy,RU,2020-04-19 23:41:28,69.38,178.42,13.62,92,93,9.06
296,Azuaga,ES,2020-04-19 23:41:29,38.27,-5.68,51.01,82,3,8.99
297,Sholapur,IN,2020-04-19 23:41:29,17.68,75.92,86.25,29,80,2.57
298,Bismarck,US,2020-04-19 23:38:40,46.81,-100.78,57.2,17,1,19.46
299,Valdivia,CL,2020-04-19 23:40:15,-39.81,-73.25,51.8,100,94,3.36
300,Canandaigua,US,2020-04-19 23:37:50,42.87,-77.29,46.0,87,100,4.0
301,Port Hardy,CA,2020-04-19 23:41:30,50.7,-127.42,53.6,76,75,5.82
302,Lypova Dolyna,UA,2020-04-19 23:41:30,50.56,33.8,39.56,76,93,6.67
303,Rawson,AR,2020-04-19 23:41:31,-43.3,-65.1,62.82,31,94,16.26
304,Moranbah,AU,2020-04-19 23:41:31,-22.0,148.05,79.05,54,15,11.03
305,Belaya Gora,RU,2020-04-19 23:39:57,68.53,146.42,10.67,91,85,9.17
306,Manzil Salim,TN,2020-04-19 23:41:31,35.86,8.48,62.6,36,40,4.7
307,Sulangan,PH,2020-04-19 23:41:31,11.14,123.72,83.26,79,71,13.82
